,recipe_urls
0,https://www.sanjeevkapoor.com/Recipe/Taazi-Haldi-aur-Gajar-ki-Sabzi.html
1,https://www.sanjeevkapoor.com/Recipe/Jackfruit-Seed-Sambhar.html
2,https://www.sanjeevkapoor.com/Recipe/-SABUDANA-VADA.html
3,https://www.sanjeevkapoor.com/Recipe/PUNJABI-SAMOSA.html
4,https://www.sanjeevkapoor.com/Recipe/PANI-PURI.html
5,https://www.sanjeevkapoor.com/Recipe/MOONG-DAL-PAKODI.html
6,https://www.sanjeevkapoor.com/Recipe/UPMA.html
7,https://www.sanjeevkapoor.com/Recipe/EGG-BHURJI.html
8,https://www.sanjeevkapoor.com/Recipe/Zarda-Boondi-Biryani-Turban-Tadka-FoodFood.html
9,https://www.sanjeevkapoor.com/Recipe/Butter-Chicken-Biryani-Turban-Tadka-FoodFood.html
10,https://www.sanjeevkapoor.com/Recipe/Biryani-Kulcha-Turban-Tadka-FoodFood.html
11,https://www.sanjeevkapoor.com/Recipe/Kalakand-Fruit-Custard-Turban-Tadka-FoodFood.html
12,https://www.sanjeevkapoor.com/Recipe/Dum-ka-Tinda-Turban-Tadka-FoodFood.html
13,https://www.sanjeevkapoor.com/Recipe/Anda-Dal-Tadka-Turban-Tadka-FoodFood.html
14,https://www.sanjeevkapoor.com/Recipe/Tandoori-Phalo-ka-Guldasta-Turban-Tadka-FoodFood.html
15,https://www.sanjeevkapoor.com/Recipe/Mutton-Goli-Kebab-Turban-Tadka-FoodFood.html
16,https://www.sanjeevkapoor.com/Recipe/Chicken-Dungar-Kebab-Turban-Tadka-FoodFood.html
17,https://www.sanjeevkapoor.com/Recipe/Turai-Baskets-Turban-Tadka-FoodFood.html
18,https://www.sanjeevkapoor.com/Recipe/Gulab-Jamun-Tartlets-Turban-Tadka-FoodFood.html
19,https://www.sanjeevkapoor.com/Recipe/Chooza-Makkhan-Malai-Turban-Tadka-FoodFood.html
20,https://www.sanjeevkapoor.com/Recipe/Chicken-Tikka-Manchurian-Fried-Rice--Turban-Tadka-FoodFood.html
21,https://www.sanjeevkapoor.com/Recipe/Babycorn-Paneer-Drumsticks--Turban-Tadka-FoodFood.html
22,https://www.sanjeevkapoor.com/Recipe/Anjeer-and-Boondi-Pancakes--Turban-Tadka-FoodFood.html
23,https://www.sanjeevkapoor.com/Recipe/Sofiyani-Sherbat--Turban-Tadka-FoodFood.html
24,https://www.sanjeevkapoor.com/Recipe/Sattu-Baingan-Masala--Turban-Tadka-FoodFood.html
25,"https://www.sanjeevkapoor.com/Recipe/Hare-Pyaaz-,-Neem-aur-Imli-ki-Chutney--Turban-Tadka-FoodFood.html"
26,https://www.sanjeevkapoor.com/Recipe/Hercules-Bar-Turban-Tadka-FoodFood.html
27,https://www.sanjeevkapoor.com/Recipe/Crispy-Crunchy-Baby-Corn-Turban-Tadka-FoodFood.html
28,https://www.sanjeevkapoor.com/Recipe/Baked-Chocolate-Apple--Turban-Tadka-FoodFood.html
29,https://www.sanjeevkapoor.com/Recipe/Noon-Chai-Kashmiri-Turban-Tadka-FoodFood.html
30,https://www.sanjeevkapoor.com/Recipe/Jeera-Kulcha-Biscuits-Turban-Tadka-FoodFood.html
31,https://www.sanjeevkapoor.com/Recipe/Instant-Panjeeri-Turban-Tadka-FoodFood.html
32,https://www.sanjeevkapoor.com/Recipe/Pizza-Samosa-Turban-Tadka-FoodFood.html
33,https://www.sanjeevkapoor.com/Recipe/Chana-Cheese-Roti-Turnover-Turban-Tadka-FoodFood.html
34,https://www.sanjeevkapoor.com/Recipe/Biscuit-Ice-Cream-Chocolate-Bars-Turban-Tadka-FoodFood.html
35,https://www.sanjeevkapoor.com/Recipe/Sweet-Momo-Curry-Turban-Tadka-FoodFood.html
36,https://www.sanjeevkapoor.com/Recipe/Lachchedar-Aloo-Tikki-Chaat-Turban-Tadka-FoodFood.html
37,https://www.sanjeevkapoor.com/Recipe/Amritsari-Cheese-Chicken-Tikkis-Chaap-Turban-Tadka-FoodFood.html
38,https://www.sanjeevkapoor.com/Recipe/Posto-Halwa-Turban-Tadka-FoodFood.html
39,https://www.sanjeevkapoor.com/Recipe/Mawa-Wale-Aloo-Turban-Tadka-FoodFood.html
40,https://www.sanjeevkapoor.com/Recipe/Keema-Chana-Pulao-Taka-Tak-Turban-Tadka-FoodFood.html
41,https://www.sanjeevkapoor.com/Recipe/Rareya-Kadaknath-Kala-Kukkad-Turban-Tadka-FoodFood.html
42,https://www.sanjeevkapoor.com/Recipe/Nimboo-Mirch-Wale-Chane-Turban-Tadka-FoodFood.html
43,https://www.sanjeevkapoor.com/Recipe/Chocolate-Pakode-Turban-Tadka-FoodFood.html
44,https://www.sanjeevkapoor.com/Recipe/Shahi-Bharwan-Murgh-Daranpur-Turban-Tadka-FoodFood.html
45,https://www.sanjeevkapoor.com/Recipe/Mexican-Cheese-Pani-Puri-Turban-Tadka-FoodFood.html
46,https://www.sanjeevkapoor.com/Recipe/Gajar-Halwa-Kulfi-Bombs-Turban-Tadka-FoodFood.html
47,https://www.sanjeevkapoor.com/Recipe/CHICKEN-BIRYANI.html
48,https://www.sanjeevkapoor.com/Recipe/WONDER-CAKE-BATTER.html
